transaction_id,trans_date_trans_time,card_number,merchant_name,merchant_category,transaction_amount,gender,transaction_location,Cities,State,dob,fraud_flag
0,21-06-2020,2290000000000000.0,fraud_Kirlin and Sons,10,2.86,1,351 Darlene Green,153,39,19-03-1968,0
1,21-06-2020,3570000000000000.0,fraud_Sporer-Keebler,10,29.84,0,3638 Marsh Union,16,43,17-01-1990,0
2,21-06-2020,3600000000000000.0,"fraud_Swaniawski, Nitzsche and Welch",5,41.28,0,9333 Valentine Point,61,33,21-10-1970,0
3,21-06-2020,3590000000000000.0,fraud_Haley Group,9,60.05,1,32941 Krystal Mill Apt. 552,740,8,25-07-1987,0
4,21-06-2020,3530000000000000.0,fraud_Johnston-Casper,13,3.19,1,5783 Evan Roads Apt. 465,242,21,06-07-1955,0
5,21-06-2020,30400000000000.0,fraud_Daugherty LLC,7,19.55,0,76752 David Lodge Apt. 064,90,33,13-10-1991,0
6,21-06-2020,213000000000000.0,fraud_Romaguera Ltd,5,133.93,0,010 Weaver Land,117,4,15-01-1951,0
7,21-06-2020,3590000000000000.0,fraud_Reichel LLC,10,10.37,0,350 Stacy Glens,703,40,05-03-1972,0
8,21-06-2020,3600000000000000.0,"fraud_Goyette, Howell and Collier",12,4.37,1,4138 David Fall,490,37,27-05-1973,0
9,21-06-2020,3550000000000000.0,fraud_Kilback Group,1,66.54,0,7921 Robert Port Suite 343,606,42,30-05-1956,0
10,21-06-2020,2240000000000000.0,"fraud_Feil, Hilpert and Koss",1,7.01,1,43235 Mckenzie Views Apt. 837,799,16,10-04-1996,0
11,21-06-2020,571000000000.0,fraud_Gottlieb Group,7,42.4,1,45654 Hess Rest,251,49,26-02-1976,0
12,21-06-2020,6590000000000000.0,fraud_Connelly-Carter,6,2.91,0,244 Abbott Parkway,429,8,04-01-1977,0
13,21-06-2020,4990000000000.0,fraud_Bechtelar-Rippin,1,7.93,1,977 Rita Grove Apt. 000,638,33,17-03-1937,0
14,21-06-2020,6010000000000000.0,fraud_Lubowitz-Walter,7,2.91,0,4038 Smith Avenue,361,1,02-11-1971,0
15,21-06-2020,4570000000000000.0,"fraud_Welch, Rath and Koepp",0,24.73,0,5097 Jodi Vista Suite 811,192,8,09-04-1988,0
16,21-06-2020,4.91e+18,fraud_Hickle Group,12,2.33,1,838 Franklin Prairie Apt. 902,373,8,13-02-1987,0
17,21-06-2020,4910000000000000.0,"fraud_Lang, Towne and Schuppe",7,16.6,0,03030 White Lakes,273,42,24-07-1992,0
18,21-06-2020,4.86e+18,fraud_Morissette LLC,0,80.11,0,65417 Walsh Radial Suite 691,656,17,16-12-1977,0
19,21-06-2020,6540000000000000.0,fraud_Prosacco LLC,10,5.71,0,444 Robert Mews,136,37,22-09-1997,0
20,21-06-2020,2280000000000000.0,fraud_Corwin-Romaguera,13,8.53,0,9345 Spencer Junctions Suite 183,12,9,27-12-1997,0
21,21-06-2020,4.56e+18,fraud_Gottlieb Group,7,37.95,0,20581 Pena Walks,151,5,09-05-1992,0
22,21-06-2020,4560000000000.0,fraud_Tillman LLC,13,1.74,1,28711 Kristine Junction Suite 309,282,34,26-11-1971,0
23,21-06-2020,213000000000000.0,fraud_Veum-Koelpin,13,6.02,0,181 Moreno Light Apt. 215,741,47,23-11-1997,0
24,21-06-2020,373000000000000.0,"fraud_Watsica, Haag and Considine",12,9.87,0,26544 Andrea Glen,268,21,18-06-1985,0
25,21-06-2020,6010000000000000.0,fraud_Leannon-Ward,1,47.06,0,508 Erin Mount,179,4,04-10-1991,0
26,21-06-2020,6010000000000000.0,"fraud_Hintz, Bauch and Smith",5,1.7,1,50843 Vincent Mission,699,45,30-08-1957,0
27,21-06-2020,3580000000000000.0,fraud_Labadie LLC,10,2.17,1,7233 John Parks,407,2,06-10-1968,0
28,21-06-2020,3500000000000000.0,"fraud_Eichmann, Hayes and Treutel",13,6.21,0,659 Nicole Cove Suite 560,516,42,30-11-1948,0
29,21-06-2020,180000000000000.0,fraud_Leffler-Goldner,10,24.44,0,022 Moore Island,517,33,29-12-1957,0
30,21-06-2020,380000000000000.0,fraud_Kautzer and Sons,10,176.23,1,5537 Jessica Plaza,584,16,28-02-1930,0
31,21-06-2020,180000000000000.0,fraud_Ernser-Feest,6,134.39,0,2481 Mills Lock,591,30,19-07-1974,0
32,21-06-2020,4300000000000000.0,"fraud_Zemlak, Tillman and Cremin",10,19.03,1,384 Newman Forks Apt. 370,62,11,08-08-1964,0
33,21-06-2020,180000000000000.0,fraud_Nienow PLC,0,210.36,0,982 Melissa Lock,42,47,20-11-1974,0
34,21-06-2020,180000000000000.0,fraud_Lynch-Wisozk,6,52.81,0,47152 Clayton Burg,435,19,15-02-1964,0
35,21-06-2020,6520000000000000.0,"fraud_Feil, Hilpert and Koss",1,82.32,1,26975 Richardson Mills Apt. 402,697,24,11-06-1958,0
773,21-06-2020,568000000000.0,"fraud_Witting, Beer and Ernser",6,68.5,1,6139 Mark Rapid Apt. 651,132,27,01-05-1991,0
774,21-06-2020,30400000000000.0,"fraud_Dare, Fritsch and Zboncak",5,76.63,1,2851 Foster Shoals,672,37,02-07-1982,0
775,21-06-2020,4450000000000000.0,"fraud_Hauck, Dietrich and Funk",7,47.38,1,8850 Jessica Center,36,44,17-08-1986,0
776,21-06-2020,4360000000000000.0,fraud_Murray-Smitham,4,56.35,1,03512 Jackson Ports,625,32,12-03-1997,0
777,21-06-2020,4840000000000000.0,"fraud_Kling, Howe and Schneider",6,22.58,0,516 Brown Parks,437,21,12-04-1979,0
778,21-06-2020,4.74e+18,fraud_Larson-Moen,0,25.56,0,062 Carl Dam,15,33,23-05-1953,0
779,21-06-2020,30000000000000.0,fraud_Kutch-Wilderman,6,9.96,0,87665 Karen Mill Apt. 586,250,8,29-08-1985,0
780,21-06-2020,4160000000000000.0,fraud_Mayert Group,12,9.31,0,174 Jennifer Meadow Apt. 467,502,35,12-10-1983,0
781,21-06-2020,4650000000000000.0,"fraud_Roob, Conn and Tremblay",12,3.06,0,302 Christina Islands,695,16,06-06-1999,0
782,21-06-2020,346000000000000.0,fraud_Dare-Gibson,5,17.89,0,32301 Albert River Suite 364,644,48,22-10-1991,0
783,21-06-2020,6530000000000000.0,fraud_Marvin-Lind,10,52.16,1,63502 Brown Road Apt. 318,792,30,18-02-1964,0
784,21-06-2020,4900000000000000.0,fraud_Kozey-Boehm,11,9.59,0,574 David Locks Suite 207,161,33,19-10-1990,0
785,21-06-2020,3560000000000000.0,"fraud_Prosacco, Kreiger and Kovacek",6,100.06,1,572 Davis Mountains,390,42,27-12-1999,0
786,21-06-2020,6010000000000000.0,fraud_Dibbert-Green,0,76.7,0,1652 James Mews,323,34,15-09-1988,0
787,21-06-2020,4750000000000.0,fraud_Abbott-Steuber,10,82.52,0,6114 Adams Harbor Suite 096,376,14,07-10-1998,0
788,21-06-2020,4950000000000000.0,"fraud_Bahringer, Osinski and Block",1,30.63,0,75533 Tamara Valleys,416,13,15-06-1976,0
789,21-06-2020,3540000000000000.0,fraud_Runte-Mohr,1,9.39,0,6911 Nicholas Keys Apt. 237,27,37,04-10-1972,0
790,21-06-2020,2480000000000000.0,fraud_Bode-Rempel,7,55.87,1,153 Mccullough Springs Apt. 857,395,22,12-10-1993,0
791,21-06-2020,3540000000000000.0,fraud_Cruickshank-Mills,0,108.52,0,376 Brown Courts,819,49,16-11-1941,0
792,21-06-2020,4.91e+18,fraud_Larkin Ltd,7,171.63,1,838 Franklin Prairie Apt. 902,373,8,13-02-1987,0
793,21-06-2020,4.31e+18,"fraud_Schneider, Hayes and Nikolaus",1,77.44,1,26678 Lisa Locks Apt. 904,345,5,21-09-1969,0
794,21-06-2020,30300000000000.0,fraud_Pacocha-Bauch,12,130.44,1,06959 Stephen Branch Suite 246,732,2,13-06-2000,0
795,21-06-2020,4.54e+18,"fraud_Berge, Kautzer and Harris",10,41.95,1,767 Adam Mill Apt. 115,233,31,18-07-1972,0
796,21-06-2020,30500000000000.0,fraud_Wisozk and Sons,9,8.77,0,180 Graves Shore,674,39,04-05-1973,0
797,21-06-2020,4920000000000000.0,fraud_Schumm PLC,5,40.55,1,121 Solis Summit Apt. 934,746,35,11-11-1944,0
798,21-06-2020,30400000000000.0,fraud_Boyer PLC,11,2.65,1,2881 Frey Village,170,39,09-10-1973,0
799,21-06-2020,4860000000000000.0,fraud_Bechtelar-Rippin,1,1.04,0,383 Long Islands,202,33,25-02-1990,0
800,21-06-2020,3560000000000000.0,fraud_Pacocha-Weissnat,7,47.28,1,8840 Miller Port Suite 645,347,4,06-05-1955,0
801,21-06-2020,3570000000000000.0,fraud_O'Hara-Wilderman,1,173.2,1,23656 Harris Gardens Suite 698,223,42,21-01-1973,0
802,21-06-2020,3500000000000000.0,fraud_Kris-Padberg,12,8.81,0,08056 Alvarado Club Suite 699,588,3,30-11-1999,0
803,21-06-2020,4840000000000000.0,"fraud_Hyatt, Russel and Gleichner",5,233.88,1,85344 Smith Gateway Apt. 280,303,14,06-05-1955,0
804,21-06-2020,377000000000000.0,"fraud_Moore, Williamson and Emmerich",6,71.76,0,2076 Thomas Roads Suite 970,120,39,31-07-1961,0
805,21-06-2020,6010000000000000.0,"fraud_Hahn, Bahringer and McLaughlin",10,23.66,0,3379 Williams Common,412,5,31-07-1975,0
1685,21-06-2020,3560000000000000.0,fraud_Hamill-D'Amore,5,24.84,0,63542 Luna Brook Apt. 012,541,42,15-09-1969,1
